q,,,,,,,,,,,,,,,,,,,,,,,,
Timestamp,"Participation Invitation
We kindly invite you to share your experiences and opinions by completing this survey. The questionnaire will only take a few minutes of your time, and your insights will play a key role in enhancing the relevance and appeal of YNE’s free training programs.
Before we proceed, please confirm your consent to participate by answering the following question:
Do you consent to participate in this online survey?",Age,Gender,Sub City ,Education Level ,Employment Status,Do you have a Telegram account? ,Have you ever heard about The Youth Network Ethiopia (YNE)?,"If yes, how did you first learn about YNE? (Check all that apply)","If your answer to Question 2 is YES, and you were to participate in YNE training, which factors would be most important to you?",How do you access the internet? (Select all that apply),Which social media platforms have you used for online training purposes? (Select all that apply),How likely are you to join a free online training program offered by YNE?,What would be the most significant barriers for you to participate in free training sessions? (Select all that apply),Would you be interested in training sessions on the following topics? (Select all that apply),What motivates you to consider joining a free training program? (Select all that apply),What type of training delivery do you prefer? (Select all that apply),What is your preferred time for attending online training sessions?,How often would you prefer  free online training sessions to be offered?,Would you be more likely to attend free training sessions if they offered certification?,What topics or skills would you like free online training sessions to focus on?,How do you evaluate the overall questionnaire preparation?,What feedback and recommendations do you have for improving the questionnaire?,Area of Collection
1/16/2025 10:22:19,"Yes, I consent to participate.",22,Male,Yeka,Tertiary Education (Undergraduate),Student,Yes,Yes,Friends/Peers,Flexible scheduling,"Mobile data, Home Wi-Fi, Public Wi-Fi","Telegram, WhatsApp, Twitter/X",5,Lack of time,Personal development,To gain new skills,Discussion forums or group chats,Evening (4 PM–8 PM),Weekly,5,Personal development ,4,Great,
1/16/2025 10:24:03,"Yes, I consent to participate.",21,Female,Yeka,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi",Telegram,5,Lack of awareness,Personal development,To gain new skills,"Pre-recorded videos, Reading materials (e.g., PDFs, guides), In-person training sessions (if applicable)",Afternoon (12 PM–4 PM),Bi-weekly,1,Mental health awareness ,5,No feedback ,
1/16/2025 10:25:36,"Yes, I consent to participate.",23,Male,Kirkos,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi","Telegram, Instagram",4,Lack of time,Personal development,Personal interest,Podcasts or audio materials,Afternoon (12 PM–4 PM),Weekly,4,Growth,3,Good,
1/16/2025 10:40:13,"Yes, I consent to participate.",21,Male,Yeka,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi","Telegram, YouTube, Instagram",5,Lack of awareness,Digital skills,To gain new skills,Pre-recorded videos,Evening (4 PM–8 PM),Weekly,3,Digital marketing ,3,Have a good audience ,
1/16/2025 10:44:36,"Yes, I consent to participate.",21,Male,Bole,Tertiary Education (Undergraduate),Student,No,No,,,Home Wi-Fi,YouTube,1,Topics not aligning with personal/career interests,Personal development,To improve career prospects,Pre-recorded videos,Evening (4 PM–8 PM),Weekly,1,Forex trade / online business ,5,No feedback ,
1/16/2025 10:52:36,"Yes, I consent to participate.",30,Male,Kolfe Keranio,Tertiary Education (Undergraduate),Part time,Yes,Yes,"Social media (e.g., Facebook, Instagram)",Flexible scheduling,"Mobile data, Home Wi-Fi",Telegram,1,"Lack of awareness, Poor internet access, Lack of time, Topics not aligning with personal/career interests","Career development, Digital skills, Entrepreneurship and business management, Personal development","To gain new skills, To improve career prospects, Networking opportunities, Certification upon completion","Live sessions with Q&A, Pre-recorded videos, Reading materials (e.g., PDFs, guides)",Evening (4 PM–8 PM),Daily,1,Personal development ,5,More questionnaire ,
1/16/2025 11:00:37,"Yes, I consent to participate.",24,Male,Yeka,Tertiary Education (Undergraduate),Part time,Yes,No,,,Mobile data,Google sheet,2,"Lack of awareness, Poor internet access, Lack of time, Topics not aligning with personal/career interests","Digital skills, Entrepreneurship and business management, Personal development","To gain new skills, To improve career prospects, Personal interest, Networking opportunities, Certification upon completion","Live sessions with Q&A, Pre-recorded videos, Podcasts or audio materials",Evening (4 PM–8 PM),Weekly,1,Digital skills,5,None,
1/16/2025 11:09:43,"Yes, I consent to participate.",21,Male,Bole,Tertiary Education (Undergraduate),Student,Yes,No,,,Mobile data,Instagram,3,Lack of awareness,Digital skills,To gain new skills,Virtual workshops or webinars,Evening (4 PM–8 PM),Weekly,2,Digital skills ,4,It's good,
1/16/2025 11:09:47,"Yes, I consent to participate.",20,Male,Kirkos,Tertiary Education (Undergraduate),Part time,Yes,Yes,Advertisements,Easy access to training materials,Public Wi-Fi,YouTube,5,Lack of time,Digital skills,To gain new skills,"Reading materials (e.g., PDFs, guides), Interactive quizzes or activities",Evening (4 PM–8 PM),Monthly,1,Digital marketing ,5,Keep it up,
1/16/2025 11:13:05,"Yes, I consent to participate.",19,Female,Ledeta,Tertiary Education (Undergraduate),Part time,Yes,No,,,Mobile data,YouTube,1,Lack of time,Personal development,To improve career prospects,"Live sessions with Q&A, Reading materials (e.g., PDFs, guides), Interactive quizzes or activities",Evening (4 PM–8 PM),Weekly,1,Communication ,4,Keep it up😎,
